a,,&#xEB40;
akesi,,&#xeb41;
ala,,&#xeb42;
alasa,,&#xeb43;
ale,,&#xeb44;
anpa,,&#xeb45;
ante,,&#xeb46;
anu,,&#xeb47;
awen,,&#xeb48;
e,,&#xeb49;
en,,&#xeb4a;
esun,,&#xeb4b;
ijo,,&#xeb4c;
ike,,&#xeb4d;
ilo,,&#xeb4e;
insa,,&#xeb4f;
jaki,,&#xeb50;
jan,,&#xeb51;
jelo,,&#xeb52;
jo,,&#xeb53;
kala,,&#xeb54;
kalama,,&#xeb55;
kama,,&#xeb56;
kasi,,&#xeb57;
ken,,&#xeb58;
kepeken,,&#xeb59;
kili,,&#xeb5a;
kiwen,,&#xeb5d;
ko,,&#xeb5e;
kon,,&#xeb5f;
kule,,&#xeb60;
kulupu,,&#xeb61;
kute,,&#xeb62;
la,,&#xeb63;
lape,,&#xeb64;
laso,,&#xeb65;
lawa,,&#xeb66;
len,,&#xeb67;
lete,,&#xeb68;
li,,&#xeb69;
lili,,&#xeb6a;
linja,,&#xeb6b;
lipu,,&#xeb6c;
loje,,&#xeb6d;
lon,,&#xeb6e;
luka,,&#xeb6f;
lukin,,&#xeb70;
lupa,,&#xeb71;
ma,,&#xeb72;
mama,,&#xeb73;
mani,,&#xeb74;
meli,,&#xeb75;
mi,,&#xeb76;
mije,,&#xeb77;
moku,,&#xeb78;
moli,,&#xeb79;
monsi,,&#xeb7a;
mu,,&#xeb7b;
mun,,&#xeb7c;
musi,,&#xeb7d;
mute,,&#xeb7e;
nanpa,,&#xeb80;
nasa,,&#xeb81;
nasin,,&#xeb82;
nena,,&#xeb83;
ni,,&#xeb84;
nimi,,&#xeb85;
noka,,&#xeb86;
o,,&#xeb87;
olin,,&#xeb89;
ona,,&#xeb8a;
open,,&#xeb8b;
pakala,,&#xeb8c;
pali,,&#xeb8d;
palisa,,&#xeb8e;
pan,,&#xeb8f;
pana,,&#xeb90;
pi,,&#xeb91;
pilin,,&#xeb92;
pimeja,,&#xeb93;
pini,,&#xeb94;
pipi,,&#xeb95;
poka,,&#xeb96;
poki,,&#xeb97;
pona,,&#xeb98;
pu,,&#xeb99;
sama,,&#xeb9a;
seli,,&#xeb9b;
selo,,&#xeb9c;
seme,,&#xeb9d;
sewi,,&#xeb9e;
sijelo,,&#xeb9f;
sike,,&#xeba0;
sin,,&#xeba1;
sina,,&#xeba2;
sinpin,,&#xeba3;
sitelen,,&#xeba4;
sona,,&#xeba5;
soweli,,&#xeba6;
suli,,&#xeba7;
suno,,&#xeba8;
supa,,&#xeba9;
suwi,,&#xebaa;
tan,,&#xebab;
taso,,&#xebac;
tawa,,&#xebad;
telo,,&#xebae;
tenpo,,&#xebaf;
toki,,&#xebb0;
tomo,,&#xebb1;
tu,,&#xebb2;
unpa,,&#xebb3;
uta,,&#xebb4;
utala,,&#xebb5;
wan,,&#xebb6;
waso,,&#xebb7;
wawa,,&#xebb8;
weka,,&#xebb9;
wile,,&#xebba;
cartouche open,,&#xEBBB;
cartouche end,,&#xEBBC;
