a,,&#xF1900;
akesi,,&#xF1901;
ala,,&#xF1902;
alasa,,&#xF1903;
ale,,&#xF1904;
anpa,,&#xF1905;
ante,,&#xF1906;
anu,,&#xF1907;
awen,,&#xF1908;
e,,&#xF1909;
en,,&#xF190a;
esun,,&#xF190b;
ijo,,&#xF190c;
ike,,&#xF190d;
ilo,,&#xF190e;
insa,,&#xF190f;
jaki,,&#xF1910;
jan,,&#xF1911;
jelo,,&#xF1912;
jo,,&#xF1913;
kala,,&#xF1914;
kalama,,&#xF1915;
kama,,&#xF1916;
kasi,,&#xF1917;
ken,,&#xF1918;
kepeken,,&#xF1919;
kili,,&#xF191a;
kiwen,,&#xF191b;
ko,,&#xF191c;
kon,,&#xF191d;
kule,,&#xF191e;
kulupu,,&#xF191f;
kute,,&#xF1920;
la,,&#xF1921;
lape,,&#xF1922;
laso,,&#xF1923;
lawa,,&#xF1924;
len,,&#xF1925;
lete,,&#xF1926;
li,,&#xF1927;
lili,,&#xF1928;
linja,,&#xF1929;
lipu,,&#xF192a;
loje,,&#xF192b;
lon,,&#xF192c;
luka,,&#xF192d;
lukin,,&#xF192e;
lupa,,&#xF192f;
ma,,&#xF1930;
mama,,&#xF1931;
mani,,&#xF1932;
meli,,&#xF1933;
mi,,&#xF1934;
mije,,&#xF1935;
moku,,&#xF1936;
moli,,&#xF1937;
monsi,,&#xF1938;
mu,,&#xF1939;
mun,,&#xF193a;
musi,,&#xF193b;
mute,,&#xF193c;
nanpa,,&#xF193d;
nasa,,&#xF193e;
nasin,,&#xF193f;
nena,,&#xF1940;
ni,,"<div style=""line-height:1em;"">&#xF1941;&nbsp;ni&gt;&gt;&nbsp;&lt;v <br>niv&gt;&nbsp;zz&nbsp;|| <br>ni&gt;&nbsp;zz&nbsp;|| <br>ni&gt;^&nbsp;v&gt;&nbsp;&lt;^ <br>ni^&nbsp;^&gt;&nbsp;&lt;v <br>ni&lt;^&nbsp;v&gt;&nbsp;&lt;^ <br>ni&lt;&nbsp;^&gt;&nbsp;&lt;v <br>ni&lt;v&nbsp;&lt;&lt;&lt;^</div>"
nimi,,&#xF1942;
noka,,&#xF1943;
o,,&#xF1944;
olin,,&#xF1945;
ona,,&#xF1946;
open,,&#xF1947;
pakala,,&#xF1948;
pali,,&#xF1949;
palisa,,&#xF194a;
pan,,&#xF194b;
pana,,&#xF194c;
pi,,&#xF194d;
pilin,,&#xF194e;
pimeja,,&#xF194f;
pini,,&#xF1950;
pipi,,&#xF1951;
poka,,&#xF1952;
poki,,&#xF1953;
pona,,&#xF1954;
pu,,&#xF1955;
sama,,&#xF1956;
seli,,&#xF1957;
selo,,&#xF1958;
seme,,&#xF1959;
sewi,,&#xF195a;
sijelo,,&#xF195b;
sike,,&#xF195c;
sin,,&#xF195d;
sina,,&#xF195e;
sinpin,,&#xF195f;
sitelen,,&#xF1960;
sona,,&#xF1961;
soweli,,&#xF1962;
suli,,&#xF1963;
suno,,&#xF1964;
supa,,&#xF1965;
suwi,,&#xF1966;
tan,,&#xF1967;
taso,,&#xF1968;
tawa,,&#xF1969;
telo,,&#xF196a;
tenpo,,&#xF196b;
toki,,&#xF196c;
tomo,,&#xF196d;
tu,,&#xF196e;
unpa,,&#xF196f;
uta,,&#xF1970;
utala,,&#xF1971;
walo,,&#xF1972;
wan,,&#xF1973;
waso,,&#xF1974;
wawa,,&#xF1975;
weka,,&#xF1976;
wile,,&#xF1977;
epiku,,&#xF1983;
jasima,,&#xF197f;
kijetesantakalu,,&#xF1980;
kin,,&#xF1979;
kipisi,,&#xF197b;
kokosila,,&#xF1984;
ku,,&#xF1988;
lanpan,,&#xF1985;
leko,,&#xF197c;
meso,,&#xF1982;
misikeke,,&#xF1987;
monsuta,,&#xF197d;
n,,&#xF1986;
namako,,&#xF1978;
oko,,&#xF197a;
soko,,&#xF1981;
tonsi,,&#xF197e;
apeja,,&#xF19a1;
isipin,,isipin
kapesi,,kapesi
kiki,,kiki
linluwi,,linluwi
majuna,,&#xF19a2;
misa,,misa,misa1,misa2,misa3,misa4,misa5
oke,,oke
pake,,&#xF19a0;
Pingo,,Pingo
powe,,&#xF19a3;
soto,,soto
sutopatikuna,,sutopatikuna
taki,,taki
te,,te
teje,,teje
to,,to
unu,,unu
wa,,wa
wasoweli,,wasoweli
yupekosi,,yupekosi
ani<br>(wi),,ani
koni<br>(ki),,koni
nimisin,,nimisin
nja,,nja
omekapo,,omekapo
poni,,poni
puwa,,puwa
silapa,,"<div style=""line-height: 1;"">zz&nbsp;zz&nbsp;silapa1<br>silapa&nbsp;silapa2<br>zz&nbsp;zz&nbsp;silapa3</div>"
snoweli,,snoweli
soni<br>(si),,soni
tasun,,tasun,tasun1&nbsp;tasun2&nbsp;tasun2&nbsp;tasun2&nbsp;tasun2&nbsp;tasun2&nbsp;tasun2&nbsp;tasun3
waken,,waken
wuwojiti,,wuwojiti
cartouche open,,&#xf1990;
cartouche end,,&#xf1991;
cartouche extension,,&#xf1992;
truncated pi<br>for extended pi,,&#xf1993;
long pi extension<br>long character extension,,&#xf1994;
stacking combiner<br>(UCSUR only),,&#xf1995;
scaling combiner<br>(UCSUR only),,&#xf1996;
long glyph start<br>(UCSUR only),,&#xf1997;
long glyph end<br>(UCSUR only),,&#xf1998;
reverse long glyph start<br>(UCSUR only),,&#xf199a;
reverse long glyph end<br>(UCSUR only),,&#xf199b;
cartouche interpunct,,&#xf199c;
cartouche colon,,&#xf199d;
