a,ucsur,&#xF1900;
akesi,ucsur,&#xF1901;,akesi&lt;^,akesi&lt;,akesi&lt;v,akesiv,akesi&gt;v,akesi&gt;,akesi&gt;^
ala,ucsur,&#xF1902;
alasa,ucsur,&#xF1903;
ale,ucsur,&#xF1904;
anpa,ucsur,&#xF1905;
ante,ucsur,&#xF1906;
anu,ucsur,&#xF1907;
awen,ucsur,&#xF1908;
e,ucsur,&#xF1909;
en,ucsur,&#xF190a;
esun,ucsur,&#xF190b;
ijo,ucsur,&#xF190c;
ike,ucsur,&#xF190d;
li,ucsur,&#xF1927;
pona,ucsur,&#xF1954;
cartouche open,ucsur,&#xf1990;
cartouche end,ucsur,&#xf1991;
cartouche extension,ucsur,&#xf1992;
cartouche interpunct,ucsur,&#xf199c;
cartouche colon,ucsur,&#xf199d;
