a,,a
akesi,,akesi,akesiv
ala,,ala
alasa,,alasa
ale,,ale
anpa,,anpa
ante,,ante
anu,,anu
awen,,awen
e,,e
en,,en
esun,,esun
ijo,,ijo
ike,,ike
ilo,,ilo
insa,,insa
jaki,,jaki
jan,,jan
jelo,,jelo
jo,,jo
kala,,kala,kala1
kalama,,kalama
kama,,kama
kasi,,kasi
ken,,ken
kepeken,,kepeken
kili,,kili
kiwen,,kiwen
ko,,ko
kon,,kon
kule,,kule
kulupu,,kulupu
kute,,kute
la,,la
lape,,lape
laso,,laso
lawa,,lawa
len,,len
lete,,lete
li,,li
lili,,lili
linja,,linja
lipu,,lipu
loje,,loje
lon,,lon
luka,,luka
lukin,,lukin
lupa,,lupa
ma,,ma
mama,,mama
mani,,mani
meli,,meli,meli1
mi,,mi
mije,,mije,mije1
moku,,moku
moli,,moli
monsi,,monsi
mu,,mu
mun,,mun
musi,,musi
mute,,mute
nanpa,,nanpa
nasa,,nasa
nasin,,nasin
nena,,nena
ni,,ni
nimi,,nimi
noka,,noka
o,,o
olin,,olin,olin1
ona,,ona
open,,open
pakala,,pakala
pali,,pali
palisa,,palisa
pan,,pan
pana,,pana
pi,,pi
pilin,,pilin
pimeja,,pimeja
pini,,pini
pipi,,pipi
poka,,poka
poki,,poki
pona,,pona
pu,,pu
sama,,sama
seli,,seli
selo,,selo
seme,,seme
sewi,,sewi,sewi1
sijelo,,sijelo
sike,,sike
sin,,sin
sina,,sina
sinpin,,sinpin
sitelen,,sitelen
sona,,sona
soweli,,soweli
suli,,suli
suno,,suno
supa,,supa
suwi,,suwi
tan,,tan
taso,,taso
tawa,,tawa
telo,,telo
tenpo,,tenpo
toki,,toki
tomo,,tomo
tu,,tu
unpa,,unpa
uta,,uta,uta1
utala,,utala
walo,,walo
wan,,wan
waso,,waso
wawa,,wawa
weka,,weka
wile,,wile,wile1
epiku,,epiku
jasima,,jasima
kijetesantakalu,,kijetesantakalu
kin,,kin
kipisi,,kipisi
kokosila,,kokosila,kokosila1
ku,,ku,ku1,ku2,ku3,ku4,ku5,ku6
lanpan,,lanpan,lanpan1
leko,,leko
meso,,meso,meso1
misikeke,,misikeke
monsuta,,monsuta
n,,n
namako,,namako
oko,,oko
soko,,soko
tonsi,,tonsi
apeja,,apeja
ete,,ete,ete1
ewe,,ewe
isipin,,isipin
kalamARR,,kalamARR
kamalawala,,kamalawala
kan,,kan
kapesi,,kapesi,kapesi1
ke,,ke
kese,,kese
kiki,,kiki
kuntu,,kuntu
likujo,,likujo
linluwi,,linluwi
majuna,,majuna,majuna1
misa,,misa,misa1,misa2,misa3,misa4,misa5
mulapisu,,mulapisu
neja,,neja
oke,,oke
pake,,pake
pata,,pata
peto,,peto
Pingo,,Pingo
po,,po
polinpin,,polinpin
pomotolo,,pomotolo
powe,,powe
samu,,samu
san,,san
soto,,soto
sutopatikuna,,sutopatikuna
taki,,taki,taki1
te,,te
teje,,teje
to,,to
tuli,,tuli
umesu,,umesu
unu,,unu
usawi,,usawi
wa,,wa
waleja,,waleja
yupekosi,,yupekosi
alu,,alu
awase,,awase
enko,,enko
epikule,,epikule
iki,,iki
ipi,,ipi
itomi,,itomi
jaku,,jaku
jalan,,jalan
jami,,jami
je,,je
jonke,,jonke
kapa,,kapa
ki,,ki
kosan,,kosan
kulepiku,,kulepiku
kulu,,kulu
lo<br>(lu),,lu
lokon,,lokon
melome,,melome
mijomi,,mijomi
natu,,natu
nimisin,,nimisin
nja,,nja
oki,,oki
okepuma,,okepuma
omekapo,,omekapo
omen,,omen
opasan,,opasan
oni,,oni,oni1
pa,,pa
pasila,,pasila
pipo,,pipo
puwa,,puwa
sikomo,,sikomo
slape,,slape
sowoli,,sowoli
su2,,su
ten,,ten
waken,,waken
wawajete,,wawajete
we<br>(particle),,we
wekama,,wekama
cartouche open,,[
cartouche end,,]
cartouche extension,,_
truncated pi<br>for extended pi,,pi-
long pi extension<br>long character extension,,__
