a,,a
akesi,,akesi
ala,,ala
alasa,,alasa
ale,,ale
anpa,,anpa
ante,,ante
anu,,anu
awen,,awen
e,,e
en,,en
esun,,esun
ijo,,ijo
ike,,ike
ilo,,ilo
insa,,insa
jaki,,jaki
jan,,jan
jelo,,jelo
jo,,jo
kala,,kala
kalama,,kalama
kama,,kama
kasi,,kasi
ken,,ken
kepeken,,kepeken
kili,,kili
kiwen,,kiwen
ko,,ko
kon,,kon
kule,,kule
kulupu,,kulupu
kute,,kute
la,,la
lape,,lape
laso,,laso
lawa,,lawa
len,,len
lete,,lete
li,,li
lili,,lili
linja,,linja
lipu,,lipu
loje,,loje
lon,,lon
luka,,luka
lukin,,lukin
lupa,,lupa
ma,,ma
mama,,mama
mani,,mani
meli,,meli,meli2 
mi,,mi
mije,,mije,mije2 
moku,,moku
moli,,moli
monsi,,monsi
mu,,mu
mun,,mun
musi,,musi
mute,,mute
nanpa,,nanpa
nasa,,nasa
nasin,,nasin
nena,,nena
ni,,ni
nimi,,nimi
noka,,noka
o,,o
olin,,olin
ona,,ona
open,,open
pakala,,pakala
pali,,pali
palisa,,palisa
pan,,pan
pana,,pana
pi,,pi
pilin,,pilin
pimeja,,pimeja
pini,,pini
pipi,,pipi
poka,,poka
poki,,poki
pona,,pona
pu,,pu
sama,,sama
seli,,seli
selo,,selo
seme,,seme
sewi,,sewi,sewi2 
sijelo,,sijelo
sike,,sike
sin,,sin
sina,,sina
sinpin,,sinpin
sitelen,,sitelen
sona,,sona
soweli,,soweli
suli,,suli
suno,,suno
supa,,supa
suwi,,suwi
tan,,tan
taso,,taso
tawa,,tawa
telo,,telo
tenpo,,tenpo
toki,,toki,toki2 
tomo,,tomo
tu,,tu
unpa,,unpa
uta,,uta
utala,,utala
walo,,walo
wan,,wan
waso,,waso
wawa,,wawa
weka,,weka
wile,,wile,wile2 
epiku,,epiku,epiku2 
jasima,,jasima
kijetesantakalu,,kijetesantakalu
kin,,kin
kipisi,,kipisi
ku,,ku
lanpan,,lanpan,lanpan2 
leko,,leko
meso,,meso,meso2 
misikeke,,misikeke
monsuta,,monsuta
n,,n
namako,,namako,namako2 
oko,,oko
soko,,soko
tonsi,,tonsi
apeja,,apeja
kapesi,,kapesi,kapesi2 
melome,,melome
mijomi,,mijomi
