a,,A
akesi,,B
ala,,C
alasa,,D
ale,,E
anpa,,F
ante,,G
anu,,H
awen,,I
e,,J
en,,K
esun,,L
ijo,,M
ike,,N
ilo,,O
insa,,P
jaki,,Q
jan,,R
jelo,,S
jo,,T
kala,,U
kalama,,V
kama,,W
kasi,,X
ken,,Y
kepeken,,Z
kili,,a
kiwen,,b
ko,,c
kon,,d
kule,,e
kulupu,,f
kute,,g
la,,h
lape,,i
laso,,j
lawa,,k
len,,l
lete,,m
li,,n
lili,,o
linja,,p
lipu,,q
loje,,r
lon,,s
luka,,t
lukin,,u
lupa,,v
ma,,w
mama,,x
mani,,y
meli,,z
mi,,0
mije,,1
moku,,2
moli,,3
monsi,,4
mu,,5
mun,,6
musi,,7
mute,,8
nanpa,,9
nasa,,.
nasin,,","
nena,,&#x201c;
ni,,&#x201d;
nimi,,&#x2018;
noka,,&#x2019;
o,,""""
olin,,'
ona,,?
open,,!
pakala,,@
pali,,_
palisa,,*
pan,,#
pana,,$
pi,,%
pilin,,&amp;
pimeja,,(
pini,,)
pipi,,+
poka,,-
poki,,/
pona,,:
pu,,;
sama,,&lt;
seli,,=
selo,,&gt;
seme,,[
sewi,,\
sijelo,,]
sike,,^
sin,,`
sina,,{
sinpin,,|
sitelen,,}
sona,,~
soweli,,&#xe0;
suli,,&#xe1;
suno,,&#xe2;
supa,,&#xe3;
suwi,,&#xe4;
tan,,&#xe5;
taso,,&#xe6;
tawa,,&#xe7;
telo,,&#xe8;
tenpo,,&#xe9;
toki,,&#xea;
tomo,,&#xeb;
tu,,&#xec;
unpa,,&#xed;
uta,,&nbsp;
utala,,&#xee;
walo,,&#xef;
wan,,&#xF1;
waso,,&#xF2;
wawa,,&#xF3;
weka,,&#xF4;
wile,,&#xF5;
epiku,,epiku
jasima,,jasima
kijetesantakalu,,kijetesantakalu
kin,,kin
kipisi,,kipisi
kokosila,,kokosila
ku,,ku
lanpan,,lanpan
leko,,leko
meso,,meso
misikeke,,misikeke
monsuta,,monsuta
n,,n
namako,,namako
oko,,oko
soko,,soko
tonsi,,tonsi
apeja,,apeja
ete,,ete
ewe,,ewe
isipin,,isipin
kalamARR,,kalamARR
kamalawala,,kamalawala
kan,,kan
kapesi,,kapesi
ke,,ke
kese,,kese
kiki,,kiki
kulijo,,kulijo
kuntu,,kuntu
likujo,,likujo
linluwi,,linluwi
loka,,loka
majuna,,majuna
misa,,misa
mulapisu,,mulapisu
neja,,neja
oke,,oke
pake,,pake
pata,,pata
peto,,peto
Pingo,,Pingo
po,,po
polinpin,,polinpin
pomotolo,,pomotolo
powe,,powe
samu,,samu
san,,san
soto,,soto
sutopatikuna,,sutopatikuna
taki,,taki
te,,te
teje,,teje
to,,to
tuli,,tuli
umesu,,umesu
unu,,unu
usawi,,usawi
wa,,wa
waleja,,waleja
wasoweli,,wasoweli
yupekosi,,yupekosi
aka,,aka
ako,,ako
alu,,alu
api,,api,api2,api3,api4
awase,,awase
eki,,eki
eliki,,eliki
enko,,enko
epikule,,epikule
iki,,iki
ipi,,ipi
itomi,,itomi
jaku,,jaku
jalan,,jalan
jami,,jami
jans,,jans
je,,je
jonke,,jonke
jume,,jume
kalijopilale,,kalijopilale
kapa,,kapa
ki,,ki
kijosin,,kijosin
kisa,,kisa
kolo,,kolo
konsi,,konsi
konwe,,konwe
kosan,,kosan
kulepiku,,kulepiku
kulu,,kulu
kutopoma,,kutopoma
lansan,,lansan
lato,,lato
lijokuku,,lijokuku
lokon,,lokon
mamasi,,mamasi
masu,,masu
me,,me
melome,,melome
mijomi,,mijomi
natu,,natu
nele,,nele
nja,,nja
nu2,,nu
nuwa,,nuwa
okepuma,,okepuma
omekapo,,omekapo
omen,,omen
oni,,oni
owe,,owe
pa,,pa
pasila,,pasila
peta,,peta
pika,,pika
pipo,,pipo
poni,,poni
puwa,,puwa
sikomo,,sikomo
sipi,,sipi
slape,,slape
sowoli,,sowoli
su2,,su
teken,,teken
ten,,ten
tokana,,tokana
tona,,tona
topo,,topo
wawajete,,wawajete
we<br>(particle),,we
wekama,,wekama
wi,,wi
wiki,,wiki
yutu,,yutu
