a,,a,a!
akesi,,akesi,akesiv
ala,,ala
alasa,,alasa
ale,,ale
anpa,,anpa
ante,,ante
anu,,anu
awen,,awen
e,,e
en,,en
esun,,esun
ijo,,ijo
ike,,ike
ilo,,ilo
insa,,insa
jaki,,jaki,jaki1,jaki2,jaki3,jaki4,jaki5,jaki6,jaki7,jaki8
jan,,jan
jelo,,jelo
jo,,jo
kala,,kala
kalama,,kalama
kama,,kama
kasi,,kasi
ken,,ken
kepeken,,kepeken
kili,,kili
kiwen,,kiwen
ko,,ko
kon,,kon
kule,,kule
kulupu,,kulupu
kute,,kute
la,,la
lape,,lape
laso,,laso
lawa,,lawa
len,,len
lete,,lete
li,,li
lili,,lili
linja,,linja
lipu,,lipu
loje,,loje
lon,,lon
luka,,luka
lukin,,lukin
lupa,,lupa
ma,,ma
mama,,mama
mani,,mani
meli,,meli,meli1
mi,,mi
mije,,mije,mije1
moku,,moku
moli,,moli
monsi,,monsi
mu,,mu
mun,,mun
musi,,musi
mute,,mute
nanpa,,nanpa
nasa,,nasa
nasin,,nasin
nena,,nena
ni,,ni,ni1,ni2,ni3,ni4,ni5,ni6,ni7
nimi,,nimi
noka,,noka
o,,o,o!
olin,,olin
ona,,ona
open,,open
pakala,,pakala
pali,,pali
palisa,,palisa
pan,,pan
pana,,pana
pi,,pi
pilin,,pilin
pimeja,,pimeja
pini,,pini
pipi,,pipi
poka,,poka
poki,,poki
pona,,pona
pu,,pu
sama,,sama
seli,,seli
selo,,selo
seme,,seme
sewi,,sewi
sijelo,,sijelo
sike,,sike
sin,,sin
sina,,sina
sinpin,,sinpin
sitelen,,sitelen
sona,,sona
soweli,,soweli
suli,,suli
suno,,suno
supa,,supa
suwi,,suwi
tan,,tan
taso,,taso
tawa,,tawa
telo,,telo
tenpo,,tenpo
toki,,toki
tomo,,tomo
tu,,tu
unpa,,unpa
uta,,uta
utala,,utala
walo,,walo
wan,,wan
waso,,waso
wawa,,wawa
weka,,weka
wile,,wile
epiku,,epiku
jasima,,jasima
kijetesantakalu,,kijetesantakalu
kin,,kin,kin!
kipisi,,kipisi
kokosila,,kokosila
ku,,ku
lanpan,,lanpan
leko,,leko
meso,,meso
misikeke,,misikeke
monsuta,,monsuta
n,,n,n!
namako,,namako
oko,,oko
soko,,soko
tonsi,,tonsi
apeja,,apeja
ete,,ete
ewe,,ewe
isipin,,isipin
kalamARR,,kalamARR
kamalawala,,kamalawala
kan,,kan
kapesi,,kapesi
ke,,ke
kese,,kese
kiki,,kiki
kulijo,,kulijo
kuntu,,kuntu
likujo,,likujo
linluwi,,linluwi
loka,,loka
majuna,,majuna
misa,,misa
neja,,neja
oke,,oke,oke1
pake,,pake
pata,,pata
po,,po
powe,,powe
samu,,samu
san,,san
soto,,soto
taki,,taki
te,,te
teje,,teje
to,,to
tuli,,tuli
u,,u
unu,,unu
usawi,,usawi
wa,,wa,wa!
waleja,,waleja
yupekosi,,yupekosi
aka,,aka
alente,,alente
alu,,alu
eki,,eki
enko,,enko
i,,i
iki,,iki
ipi,,ipi
jalan,,jalan
jami,,jami
je,,je,je!
jume,,jume
kalapisituwi,,kalapisituwi
kapa,,kapa
konwe,,konwe
kosan,,kosan
molusa,,molusa,molusa1,molusa2
nalanja,,nalanja
nele,,nele
nimisin,,nimisin
oki,,oki
omekapo,,omekapo
omen,,omen
oni,,oni
owe,,owe
pakola,,pakola
pasila,,pasila
peta,,peta
puwa,,puwa
potato,,potato
sikako,,sikako
silapa,,silapa
sowoli,,sowoli
wawajete,,wawajete
we<br>(content word),,we
wuwojiti,,wuwojiti
cartouche open,,[
cartouche end,,]
truncated pi<br>for extended pi,,pi1,pi2
