a,,A
akesi,,»
ala,,0
alasa,,À
ale,,v
anpa,,¨
ante,,Y
anu,,>
awen,,<
e,,E
en,,f
esun,,¼
ijo,,8
ike,,I
ilo,,/
insa,,¢
jaki,,¯
jan,,J
jelo,,³
jo,,6
kala,,½
kalama,,C
kama,,K
kasi,,|
ken,,y
kepeken,,%
kili,,.
kiwen,,F
ko,,¾
kon,,]
kule,,¹
kulupu,,","
kute,,=
la,,b
lape,,^
laso,,}
lawa,,B
len,,°
lete,,¿
li,,L
lili,,G
linja,,¸
lipu,,~
loje,,©
lon,,x
luka,,5
lukin,,7
lupa,,&
ma,,4
mama,,_
mani,,¤
meli,,Z
mi,,M
moku,,3
moli,,*
monsi,,Á
mu,,±
mun,,Ê
musi,,¥
mute,,h
nanpa,,#
nasa,,R
nasin,,+
nena,,Â
ni,,N
nimi,,Q
noka,,µ
o,,r
olin,,-
ona,,O
open,,;
pakala,,£
pali,,9
palisa,,¡
pan,,Ã
pana,,V
pi,,d
pilin,,&lsquo;
pimeja,,{
pini,,@
pipi,,Ä
poka,,&Aring;
poki,,&para;
pona,,P
pu,,Æ
sama,,$
seli,,·
selo,,Ç
seme,,?
sewi,,`
sijelo,,¥
sike,,«
sin,,X
sina,,S
sinpin,,¬
sitelen,,)
sona,,g
soweli,,[
suli,,z
suno,,(
supa,,È
suwi,,É
tan,,!
taso,,""""
tawa,,c
telo,,H
tenpo,,q
toki,,T
tomo,,D
tu,,2
unpa,,Ë
uta,,²
utala,,U
walo,,¦
wan,,1
waso,,ª
wawa,,§
weka,,®
wile,,W
mije,,:
