a,,a
akesi,,b
ala,,c
alasa,,d
ale,,e
anpa,,f
ante,,g
anu,,h
awen,,i
e,,j
en,,k
esun,,l
ijo,,m
ike,,n
ilo,,o
insa,,p
jaki,,q
jan,,r
jelo,,s
jo,,t
kala,,u
kalama,,v
kama,,w
kasi,,x
ken,,y
kepeken,,z
kili,,A
kiwen,,B
ko,,C
kon,,D
kule,,E
kulupu,,F
kute,,G
la,,H
lape,,I
laso,,J
lawa,,K
len,,L
lete,,M
li,,N
lili,,O
linja,,P
lipu,,Q
loje,,R
lon,,S
luka,,T
lukin,,U
lupa,,V
ma,,W
mama,,X
mani,,Y
meli,,Z
mi,,0
mije,,1
moku,,2
moli,,3
monsi,,4
mu,,5
mun,,6
musi,,7
mute,,8
nanpa,,9
nasa,,?
nasin,,!
nena,,-
ni,,.
nimi,,","
noka,,:
o,,;
olin,,ã
ona,,(
open,,)
pakala,,[
pali,,]
palisa,,{
pan,,}
pana,,$
pi,,&
pilin,,@
pimeja,,#
pini,,%
pipi,,^
poka,,*
poki,,+
pona,,=
pu,,_
sama,,|
seli,,~
selo,,<
seme,,>
sewi,,a̧
sijelo,,ć
sike,,ȩ
sin,,ł
sina,,`
sinpin,,ä
sitelen,,ö
sona,,ü
soweli,,ß
suli,,Ä
suno,,Ö
supa,,Ü
suwi,,ẞ
tan,,à
taso,,è
tawa,,é
telo,,ì
tenpo,,ò
toki,,ù
tomo,,À
tu,,È
unpa,,É
uta,,Ì
utala,,Ò
walo,,Ù
wan,,ń
waso,,ś
wawa,,á
weka,,í
wile,,ó
kin,,ñ
namako,,ú
oko,,à
kipisi,,Í
leko,,Ó
monsuta,,Ú
misikeke,,Ñ
tonsi,,ç
jasima,,ğ
soko,,ı
meso,,ş
epiku,,Ç
kokosila,,Ğ
lanpan,,İ
n,,Ş
kijetesantakalu,,š
ku,,ž
