a,ucsur,a,a2,a3,a4,a5
akesi,ucsur,&#xF1901;,akesi1,akesiv1,akesiv
ala,ucsur,&#xF1902;
alasa,ucsur,&#xF1903;
ale,ucsur,&#xF1904;
anpa,ucsur,&#xF1905;
ante,ucsur,&#xF1906;
anu,ucsur,&#xF1907;
awen,ucsur,&#xF1908;
e,ucsur,&#xF1909;
en,ucsur,&#xF190a;
esun,ucsur,&#xF190b;
ijo,ucsur,&#xF190c;
ike,ucsur,&#xF190d;
ilo,ucsur,&#xF190e;
insa,ucsur,&#xF190f;
jaki,ucsur,&#xF1910;,"<span style=""font-feature-settings: 'rand' 2;"">&#xF1910;</span>","<span style=""font-feature-settings: 'rand' 3;"">&#xF1910;</span>","<span style=""font-feature-settings: 'rand' 4;"">&#xF1910;</span>","<span style=""font-feature-settings: 'rand' 5;"">&#xF1910;</span>","<span style=""font-feature-settings: 'rand' 6;"">&#xF1910;</span>"
jan,ucsur,&#xF1911;
jelo,ucsur,&#xF1912;
jo,ucsur,&#xF1913;
kala,ucsur,kala,kala2,kala3
kalama,ucsur,&#xF1915;
kama,ucsur,&#xF1916;
kasi,ucsur,&#xF1917;
ken,ucsur,&#xF1918;
kepeken,ucsur,&#xF1919;
kili,ucsur,&#xF191a;
kiwen,ucsur,&#xF191b;
ko,ucsur,&#xF191c;
kon,ucsur,&#xF191d;
kule,ucsur,&#xF191e;
kulupu,ucsur,&#xF191f;
kute,ucsur,&#xF1920;
la,ucsur,&#xF1921;
lape,ucsur,&#xF1922;
laso,ucsur,&#xF1923;
lawa,ucsur,&#xF1924;
len,ucsur,&#xF1925;
lete,ucsur,&#xF1926;
li,ucsur,&#xF1927;
lili,ucsur,&#xF1928;
linja,ucsur,&#xF1929;
lipu,ucsur,&#xF192a;
loje,ucsur,&#xF192b;
lon,ucsur,&#xF192c;
luka,ucsur,&#xF192d;
lukin,ucsur,&#xF192e;
lupa,ucsur,&#xF192f;
ma,ucsur,&#xF1930;
mama,ucsur,&#xF1931;
mani,ucsur,&#xF1932;
meli,ucsur,meli,meli2,meli3
