a,,a
akesi,,akesi
ala,,ala
alasa,,alasa
ale,,ale
anpa,,anpa
ante,,ante
anu,,anu
awen,,awen
e,,e
en,,en
esun,,esun
ijo,,ijo
ike,,ike
ilo,,ilo
insa,,insa
jaki,,jaki
jan,,jan
jelo,,jelo
jo,,jo
kala,,kala
kalama,,kalama
kama,,kama
kasi,,kasi
ken,,ken
kepeken,,kepeken
kili,,kili
kiwen,,kiwen
ko,,ko
kon,,kon
kule,,kule
kulupu,,kulupu
kute,,kute
la,,la
lape,,lape
laso,,laso
lawa,,lawa
len,,len
lete,,lete
li,,li
lili,,lili
linja,,linja
lipu,,lipu
loje,,loje
lon,,lon
luka,,luka
lukin,,lukin
lupa,,lupa
ma,,ma
mama,,mama
mani,,mani
meli,,meli
mi,,mi
mije,,mije
moku,,moku
moli,,moli
monsi,,monsi
mu,,mu
mun,,mun
musi,,musi
mute,,mute
nanpa,,nanpa
nasa,,nasa
nasin,,nasin
nena,,nena
ni,,ni
nimi,,nimi
noka,,noka
o,,o
olin,,olin
ona,,ona
open,,open
pakala,,pakala
pali,,pali
palisa,,palisa
pan,,pan
pana,,pana
pi,,pi
pilin,,pilin
pimeja,,pimeja
pini,,pini
pipi,,pipi
poka,,poka
poki,,poki
pona,,pona
pu,,pu
sama,,sama
seli,,seli
selo,,selo
seme,,seme
sewi,,sewi
sijelo,,sijelo
sike,,sike
sin,,sin
sina,,sina
sinpin,,sinpin
sitelen,,sitelen
sona,,sona
soweli,,soweli
suli,,suli
suno,,suno
supa,,supa
suwi,,suwi
tan,,tan
taso,,taso
tawa,,tawa
telo,,telo
tenpo,,tenpo
toki,,toki
tomo,,tomo
tu,,tu
unpa,,unpa
uta,,uta
utala,,utala
walo,,walo
wan,,wan
waso,,waso
wawa,,wawa
weka,,weka
wile,,wile
epiku,,epiku
jasima,,jasima
kijetesantakalu,,kijetesantakalu
kin,,kin
kipisi,,kipisi
kokosila,,kokosila
ku,,ku
lanpan,,lanpan
leko,,leko
meso,,meso
misikeke,,misikeke
monsuta,,monsuta
n,,n
namako,,namako
oko,,oko
soko,,soko
tonsi,,tonsi
apeja,,apeja
ete,,ete
ewe,,ewe
isipin,,isipin
ju,,ju
kalamARR,,kalamARR
kamalawala,,kamalawala
kan,,kan
kapesi,,kapesi
ke,,ke
kese,,kese
kiki,,kiki
kulijo,,kulijo
kuntu,,kuntu
likujo,,likujo
linluwi,,linluwi
loka,,loka
lu,,lu
majuna,,majuna
misa,,misa
mulapisu,,mulapisu
neja,,neja
nu,,nu
oke,,oke
pake,,pake
pata,,pata
peto,,peto
Pingo,,Pingo
po,,po
polinpin,,polinpin
pomotolo,,pomotolo
powe,,powe
samu,,samu
san,,san
soto,,soto
su,,su
sutopatikuna,,sutopatikuna
taki,,taki
te,,te
teje,,teje
to,,to
tuli,,tuli
u,,u
umesu,,umesu
unu,,unu
usawi,,usawi
wa,,wa
waleja,,waleja
wasoweli,,wasoweli
yupekosi,,yupekosi
alente,,alente
alu,,alu
apelo,,apelo
awase,,awase
eliki,,eliki
enko,,enko
i,,i
iki,,iki
ipi,,ipi
itomi,,itomi
jaku,,jaku
jalan,,jalan
jami,,jami
je,,je
jonke,,jonke
jule,,jule
kalapisituwi,,kalapisituwi
kalijopilale,,kalijopilale
kapa,,kapa
ki,,ki
kijosin,,kijosin
kikolo,,kikolo
kikulo,,kikulo
kisa,,kisa
kokoliko,,kokoliko
konwe,,konwe
kosan,,kosan
kosikosa,,kosikosa
kulu,,kulu
lokon,,lokon
masalo,,masalo
matula,,matula
melome,,melome
mijomi,,mijomi
nalanja,,nalanja
natu,,natu
nimisin,,nimisin
nja,,nja
ojuta,,ojuta
oki,,oki
okepuma,,okepuma
olala,,olala
omekalike,,omekalike
omekapo,,omekapo
omen,,omen
opasan,,opasan
oni,,oni
pa,,pa
panke,,panke
pasila,,pasila
peta,,peta
pipo,,pipo
pipolo,,pipolo
puwa,,puwa
sapelipope,,sapelipope
sikako,,sikako
sikomo,,sikomo
sisi,,sisi
slape,,slape
su2,,su
ten,,ten
tokana,,tokana
waken,,waken
wawajete,,wawajete
we<br>(content word),,we
we<br>(particle),,we
wekama,,wekama
wiwi,,wiwi
wuwojiti,,wuwojiti
wowujiti,,wowujiti
cartouche open,,cartouche open
cartouche end,,cartouche end
cartouche extension,,cartouche extension
truncated pi<br>for extended pi,,truncated pi,for extended pi
long pi extension<br>long character extension,,long pi extension,long character extension
stacking combiner<br>(UCSUR only),,stacking combiner,(UCSUR only)
scaling combiner<br>(UCSUR only),,scaling combiner,(UCSUR only)
long glyph start<br>(UCSUR only),,long glyph start,(UCSUR only)
long glyph end<br>(UCSUR only),,long glyph end,(UCSUR only)
reverse long glyph start<br>(UCSUR only),,reverse long glyph start,(UCSUR only)
reverse long glyph end<br>(UCSUR only),,reverse long glyph end,(UCSUR only)
cartouche interpunct,,cartouche interpunct
cartouche colon,,cartouche colon
