apeja,"guilt, shame, shun, stigma, disgrace; to accuse, to single out, to expose, to dishonor, to embarrass"
ete,"beyond, exceeding, outside of, more than"
ewe,"stone, gravel, rock, pebble, lava, magma"
isipin,"to think, brainstorm, rationalize, conclude, ponder"
ju,"(word reserved for future use by Sonja Lang)"
kalamARR,"pirate noise"
kamalawala,"anarchy, uprising, revolt, rebellion"
kan,"with, among, in the company of"
kapesi,"brown, gray"
ke,"(acknowledgement or acceptance)"
kese,"queer, LGBT+"
kiki,"spiky, sharp, angle, point, triangular"
kulijo,"[interjection] casual expression of appreciation or acknowledgement; cool, fine, okay"
kuntu,"laughter, chuckle, laugh, comedy, humor"
likujo,"collection, assortment, menagerie, arrangement, handful, harvest; seven"
linluwi,"network, internet, connection; weave, braid, interlace"
loka,"limb"
lu,"(word reserved for future use by Sonja Lang)"
majuna,"old, aged, ancient"
misa,"Glires or Eulipotyphla; rat, mouse, squirrel, rabbit, rodent; {~ suli} capybara"
mulapisu,"pizza"
neja,"four"
nu,"(word reserved for future use by Sonja Lang)"
oke,"(acknowledgement or acceptance)"
pake,"stop, cease, halt; to block the way, to interrupt; to prevent"
pata,"brother, sister, sibling"
peto,"cry, tears; sad, sadness"
Pingo,"car"
po,"four"
polinpin,"bowling pin"
pomotolo,"effective, useful, give good results"
powe,"unreal, false, untrue; pretend; deceive, trick"
samu,"wanting to create new words"
san,"three"
soto,"left, left side, port side"
su2,"interacting with a book from the illustrated story book series that began with The Wonderful Wizard of Oz, produced by Sonja Lang"
sutopatikuna,"platypus"
taki,"sticky, magnetic; bond, attract, attach, clip"
te,"(particle introducing a quote)"
teje,"right, right side, starboard"
to,"(particle closing a quote)"
tuli,"three"
u,"(word reserved for future use by Sonja Lang)"
umesu,"amaze people by being on the top of the leaderboard of a toki pona game"
unu,"purple"
usawi,"magic, sorcery; enchant; magical, supernatural, occult, incomprehensible"
wa,"[interjection] indicating awe or amazement"
waleja,"context, topic, salience, pertinent, topical, pertain to, be relevant"
wasoweli,"animal with qualities of both waso & soweli"
yupekosi,"to behave like George Lucas and revise your old creative works and actually make them worse"
