a,"(emphasis, emotion or confirmation)"
akesi,"reptile, amphibian"
ala,"no, not, zero; [~ ala ~] (used to form a yes-no question); nothing"
alasa,"to hunt, forage, seek | ALT (pv.) try to, attempt"
ale,"all; abundant, countless, bountiful, every, plentiful; abundance, everything, life, universe; one hundred | ALT 100"
anpa,"bowing down, downward, humble, lowly, dependent | ALT bottom, lower part, under, below, floor, beneath; low, lower, bottom, down"
ante,"different, altered, changed, other"
anu,"or | ALT choose, decide"
awen,"enduring, kept, protected, safe, waiting, staying; (pv.) to continue to, to keep"
e,"(before the direct object)"
en,"(between multiple subjects)"
esun,"market, shop, fair, bazaar, business transaction"
ijo,"thing, phenomenon, object, matter"
ike,"bad, negative; non-essential, irrelevant | ALT complicated, complex"
ilo,"tool, implement, machine, device"
insa,"centre, content, inside, between; internal organ, stomach"
jaki,"disgusting, obscene, sickly, toxic, unclean, unsanitary"
jan,"human being, person, somebody"
jelo,"yellow, yellowish"
jo,"to have, carry, contain, hold"
kala,"fish, marine animal, sea creature"
kalama,"to produce a sound; recite, utter aloud"
kama,"arriving, coming, future, summoned; (pv.) to become, manage to, succeed in"
kasi,"plant, vegetation; herb, leaf"
ken,"to be able to, be allowed to, can, may; possible"
kepeken,"to use, with, by means of"
kili,"fruit, vegetable, mushroom"
kiwen,"hard object, metal, rock, stone"
ko,"clay, clinging form, dough, semi-solid, paste, powder"
kon,"air, breath; essence, spirit; hidden reality, unseen agent"
kule,"colorful, pigmented, painted | ALT of or relating to the LGBT+ community"
kulupu,"community, company, group, nation, society, tribe"
kute,"ear; to hear, listen; pay attention to, obey"
la,"(between the context phrase and the main sentence)"
lape,"sleeping, resting"
laso,"blue, green"
lawa,"head, mind; to control, direct, guide, lead, own, plan, regulate, rule"
len,"cloth, clothing, fabric, textile; cover, layer of privacy"
lete,"cold, cool; uncooked, raw"
li,"(between any subject except mi alone or sina alone and its verb; also to introduce a new verb for the same subject)"
lili,"little, small, short; few; a bit; young"
linja,"long and flexible thing; cord, hair, rope, thread, yarn | ALT line, connection"
lipu,"flat object; book, document, card, paper, record, website"
loje,"red, reddish"
lon,"located at, present at, real, true, existing | ALT (affirmative response)"
luka,"arm, hand, tactile organ; five | ALT touch/feel physically, interact, press"
lukin,"eye; look at, see, examine, observe, read, watch; look for, seek; (pv.) try to"
lupa,"door, hole, orifice, window"
ma,"earth, land; outdoors, world; country, territory; soil"
mama,"parent, ancestor; creator, originator; caretaker, sustainer"
mani,"money, cash, savings, wealth; large domesticated animal"
meli,"woman, female, feminine person; wife"
mi,"I, me, we, us"
mije,"man, male, masculine person; husband"
moku,"to eat, drink, consume, swallow, ingest"
moli,"dead, dying"
monsi,"back, behind, rear"
mu,"(animal noise or communication) | ALT (non-speech vocalization)"
mun,"moon, night sky object, star | ALT glow, glowing light, light in the dark"
musi,"artistic, entertaining, frivolous, playful, recreation"
mute,"many, a lot, more, much, several, very; quantity | ALT three (or more), 20"
nanpa,"-th (ordinal number); numbers"
nasa,"unusual, strange; silly; drunk, intoxicated"
nasin,"way, custom, doctrine, method, path, road"
nena,"bump, button, hill, mountain, nose, protuberance"
ni,"that, this"
nimi,"name, word"
noka,"foot, leg, organ of locomotion; bottom, lower part"
o,"hey! O! (vocative, imperative, or optative)"
olin,"love, have compassion for, respect, show affection to"
ona,"he, she, it, they"
open,"begin, start; open; turn on"
pakala,"botched, broken, damaged, harmed, messed up | ALT (curse expletive, e.g. fuck!)"
pali,"do, take action on, work on; build, make, prepare"
palisa,"long hard thing; branch, rod, stick"
pan,"cereal, grain; barley, corn, oat, rice, wheat; bread, pasta"
pana,"give, send, emit, provide, put, release"
pi,"of (used to divide a second noun group that describes a first noun group) | ALT (introduces a genitive noun)"
pilin,"heart (physical or emotional); feeling (an emotion, a direct experience)"
pimeja,"black, dark, unlit"
pini,"ago, completed, ended, finished, past"
pipi,"bug, insect, ant, spider"
poka,"hip, side; next to, nearby, vicinity | ALT along with (comitative), beside"
poki,"container, bag, bowl, box, cup, cupboard, drawer, vessel"
pona,"good, positive, useful; friendly, peaceful; simple"
pu,"interacting with the official Toki Pona book"
sama,"same, similar; each other; sibling, peer, fellow; as, like"
seli,"fire; cooking element, chemical reaction, heat source"
selo,"outer form, outer layer; bark, peel, shell, skin; boundary"
seme,"what? which?"
sewi,"area above, highest part, something elevated; awe-inspiring, divine, sacred, supernatural"
sijelo,"body (of person or animal), physical state, torso"
sike,"round or circular thing; ball, circle, cycle, sphere, wheel; of one year"
sin,"new, fresh; additional, another, extra"
sina,"you"
sinpin,"face, foremost, front, wall"
sitelen,"image, picture, representation, symbol, mark, writing"
sona,"know, be skilled in, be wise about, have information on; (pv.) know how to"
soweli,"animal, beast, land mammal"
suli,"big, heavy, large, long, tall; important; adult"
suno,"sun; light, brightness, glow, radiance, shine; light source"
supa,"horizontal surface, thing to put or rest something on"
suwi,"sweet, fragrant; cute, innocent, adorable"
tan,"by, from, because of; origin, cause"
taso,"but, however; only"
tawa,"going to, toward; for; from the perspective of; moving | ALT (pv.) going to"
telo,"water, liquid, fluid, wet substance; beverages"
tenpo,"time, duration, moment, occasion, period, situation"
toki,"communicate, say, speak, talk, use language, think; hello"
tomo,"indoor space; building, home, house, room"
tu,"two | ALT separate, cut"
unpa,"have sexual relations with"
uta,"mouth, lips, oral cavity, jaw"
utala,"battle, challenge, compete against, struggle against"
walo,"white, whitish; light-coloured, pale"
wan,"unique, united; one"
waso,"bird, flying creature, winged animal"
wawa,"strong, powerful; confident, sure; energetic, intense"
weka,"absent, away, ignored"
wile,"must, need, require, should, want, wish"
