"font","file","style","author","license","range of glyphs","proportion","UCSUR","ligatures (Latin input)","cartouches","combined glyphs","additional features","notes","cartouches","class","combined glyphs","class"
"kiku upi ala","kiku-upi-ala.ttf","pxl","Kelsey Higham","OFL",,,"no","yes","no","no",,,,,,
"kiku upi ala (liti)","kiku+upi+ala.ttf","pxl old","Kelsey Higham","OFL",,,"no","yes","no","no",,,,,,
"tama ka Tumu","tama-ka-Tumu.ttf","hand","ka Kitami","OFL",,,"no","yes","yes<br>(add <code>_</code> after each cartouched word)","no",,,"ka tama_uli_mi_upi_",,,
"sitelen seli kiwen","sitelenselikiwenatuki.ttf","hand","Rebecca Bettencourt","OFL",,,"yes","yes","yes","yes",,,"ka [tama uli mi upi]","ucsur","tuki-tiki","ucsur"
"lika lili ala","lilialab.ttf","serif","kije Enki","OFL",,,"no","yes","no","no",,,,,,
"Fairfax","FairfaxPula.ttf","pxl","Rebecca Bettencourt","OFL",,,"yes","yes","yes","yes",,,"ka [tama uli mi upi]","ucsur","tuki-tiki","ucsur"
"Fairfax HD","FairfaxPulaHD.ttf","uni","Rebecca Bettencourt","OFL",,,"yes","yes","yes","yes",,,"ka [tama uli mi upi]","ucsur","tuki-tiki","ucsur"
"titi pula lili","titi-pula-lili.otf","uni","Elliott Crampton (jan Elijo / ka Ililu)","MIT",,,"yes","yes","yes","yes",,,"ka [tama uli mi upi]","ucsur","tuki-tiki","ucsur"
"Nishiki-teki","nishiki-teki-lili.ttf","uni","Umihotaru","OFL",,,"yes","no","yes","yes",,,"&#xF1C45;&#xF1C7E;&#xF1C59;&#xF1C65;&#xF1C51;&#xF1C66;&#xF1C7F;","ucsur","&#xF1C62;&zwj;&#xF1C5A;","ucsur"
"nasin luka","nasinlukatokipona.otf","hand","trollbreeder","OFL",,,"yes","yes<br>(add <code>_tik</code> after each word)","no","no",,,,,,
